date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
19790101,2.0,7.0,52.0,2.3,-4.1,-7.5,0.4,101900.0,9.0
19790102,6.0,1.7,27.0,1.6,-2.6,-7.5,0.0,102530.0,8.0
19790103,5.0,0.0,13.0,1.3,-2.8,-7.2,0.0,102050.0,4.0
19790104,8.0,0.0,13.0,-0.3,-2.6,-6.5,0.0,100840.0,2.0
19790105,6.0,2.0,29.0,5.6,-0.8,-1.4,0.0,102250.0,1.0
19790106,5.0,3.8,39.0,8.3,-0.5,-6.6,0.7,102780.0,1.0
19790107,8.0,0.0,13.0,8.5,1.5,-5.3,5.2,102520.0,0.0
19790108,8.0,0.1,15.0,5.8,6.9,5.3,0.8,101870.0,0.0
19790109,4.0,5.8,50.0,5.2,3.7,1.6,7.2,101170.0,0.0
19790110,7.0,1.9,30.0,4.9,3.3,1.4,2.1,98700.0,0.0
19790111,1.0,6.8,55.0,2.9,2.6,0.3,2.3,98960.0,0.0
19790112,3.0,6.4,54.0,2.0,0.4,-2.0,0.0,100650.0,1.0
19790113,1.0,7.0,57.0,4.3,-2.6,-7.1,0.0,102350.0,1.0
19790114,7.0,0.0,14.0,6.7,-0.6,-5.6,0.8,102700.0,1.0